"id","name","model","brand","slug","product_id"
"67cac78a2a4e1c9ef44d615b","Carry Handle","Tape","Pack Secure","packpro-carry-handle-tape","CHT01"
"655b45fe0ebe678ef4df6829","Chromo Label","CL_76x136_500","Rollabel™","Rollabel™ Chromo Label 76x136mm - 500 Labels Per Roll","CL_76x136_500"
"655b45fe0ebe678ef4df6830","Chromo Label","CL_85x55_250","Rollabel™","Rollabel™ Chromo Label 85x55mm - 250 Labels Per Roll","CL_85x55_250"
"655b45fe0ebe678ef4df6831","Chromo Label","CL_85x55_400","Rollabel™","Rollabel™ Chromo Label 85x55mm - 400 Labels Per Roll","CL_85x55_400"
"655b45fe0ebe678ef4df6825","Chromo Label","CL_60x83_400","Rollabel™","Rollabel™ Chromo Label 60x83mm - 400 Labels Per Roll","CL_60x83_400"
"655b45fe0ebe678ef4df6826","Chromo Label","CL_60x83_500","Rollabel™","Rollabel™ Chromo Label 60x83mm - 500 Labels Per Roll","CL_60x83_500"
"655b45fe0ebe678ef4df6827","Chromo Label","CL_76x136_250","Rollabel™","Rollabel™ Chromo Label 76x136mm - 250 Labels Per Roll","CL_76x136_250"
"655b45fe0ebe678ef4df6835","Chromo Label","CL_50x90_2_500","Rollabel™","Rollabel™ Chromo Label 50x90mm - 2Ups - 2x500 Labels Per Roll","CL_50x90_2_500"
"65a49d4e7aba1accd77bab2d","Chromo Label","75x125mm - 500 Roll","Rollabel™","rollabel-chromo-label-75×125-mm-500-roll","CL_75x125_500"
"65a49d4e7aba1accd77bab2c","Chromo Label","75x125mm - 400 Roll","Rollabel™","rollabel-chromo-label-75×125-mm-400-roll","CL_75x125_400"
"655b45fe0ebe678ef4df6832","Chromo Label","CL_85x55_500","Rollabel™","Rollabel™ Chromo Label 85x55mm - 500 Labels Per Roll","CL_85x55_500"
"655b45fe0ebe678ef4df6833","Chromo Label","CL_50x90_2_250","Rollabel™","Rollabel™ Chromo Label 50x90mm - 2Ups - 2x250 Labels Per Roll","CL_50x90_2_250"
"655b45fe0ebe678ef4df6834","Chromo Label","CL_50x90_2_400","Rollabel™","Rollabel™ Chromo Label 50x90mm - 2Ups - 2x400 Labels Per Roll","CL_50x90_2_400"
"655b45fe0ebe678ef4df6817","Chromo Label","CL_100x75_500","Rollabel™","Rollabel™ Chromo Label 100x75mm - 500 Labels Per Roll","CL_100x75_500"
"655b45fe0ebe678ef4df6818","Chromo Label","CL_50x20_500","Rollabel™","Rollabel™ Chromo Label 50x20mm - 500 Labels Per Roll","CL_50x20_500"
"655b45fe0ebe678ef4df6819","Chromo Label","CL_50x20_1000","Rollabel™","Rollabel™ Chromo Label 50x20mm - 1000 Labels Per Roll","CL_50x20_1000"
"655b45fe0ebe678ef4df6814","Chromo Label","CL_100x50_1000","Rollabel™","Rollabel™ Chromo Label 100x50mm - 1000 Labels Per Roll","CL_100x50_1000"
"655b45fe0ebe678ef4df6815","Chromo Label","CL_100x75_250","Rollabel™","Rollabel™ Chromo Label 100x75mm - 250 Labels Per Roll","CL_100x75_250"
"655b45fe0ebe678ef4df6816","Chromo Label","CL_100x75_400","Rollabel™","Rollabel™ Chromo Label 100x75mm - 400 Labels Per Roll","CL_100x75_400"
"655b45fe0ebe678ef4df6823","Chromo Label","CL_50x38_2000","Rollabel™","Rollabel™ Chromo Label 50x38mm - 2000 Labels Per Roll","CL_50x38_2000"
"655b45fe0ebe678ef4df6824","Chromo Label","CL_60x83_250","Rollabel™","Rollabel™ Chromo Label 60x83mm - 250 Labels Per Roll","CL_60x83_250"
